country,year,co2_kt,co2_per_gdp,cereal_yield,fdi_perc_gdp,elec_access_perc,ch4_ttl,n2o_ttl,urb_pop_growth_perc,pop_growth_perc,gdp,gni_per_cap,pop,urb_pop,agr_land,co2_per_cap
ISL,2019,1638.2,0.07622209193496378,3590.9,-2.256210562050654,100.0,527.469604,369.198526,2.243618728412926,2.19893225826166,24663643101.958004,72980.0,360563,338406,18.56590300505802,4.543450104420032
IRQ,2000,87630.5,0.3376220140175967,363.2,-6.616457274840248e-05,96.8088302612305,46930.2841,4239.737302,3.415115576649292,3.33624669433987,48364250943.90507,1520.0,24628858,16869783,18.977067471477238,3.558041546221916
IRQ,2001,97553.3,0.3612086653110382,692.7,-0.018398719487526537,96.9349975585938,45241.33826,5902.048553,3.262820568098031,3.18401734533544,36176430128.805725,1650.0,25425663,17429292,19.411482269017082,3.8368045702485714
IRQ,2002,91164.8,0.36205708171901185,1306.4,-0.0009900252023457496,97.0526123046875,40458.12991,6086.449404,3.28979552871636,3.2110492891941,32928454672.42459,1340.0,26255343,18012216,20.21172005395889,3.4722380126589854
IRQ,2003,81278.1,0.49974094298439,1209.8,4.561717175252174,97.1686859130859,33200.17407,2966.643855,3.1299874363908646,3.05131116311828,21921569478.81626,800.0,27068823,18584912,19.86876100326954,3.0026462546967783
IRQ,2004,88108.3,0.3439615470455423,1191.6,0.8190477356546861,97.2902297973633,42261.87573,3300.671906,2.9557790876733465,2.87715845950826,36627901762.06301,1300.0,27858948,19142440,19.86876100326954,3.162657111101252
IRQ,2005,85127.9,0.31692358033493223,948.1,1.0315306396551085,97.4242477416992,40623.46488,3859.626357,3.048265719837353,2.96970606467236,49954890353.26087,1340.0,28698684,19734937,21.469236573153168,2.966264933960038
IRQ,2006,82958.1,0.2835888925818014,1329.2,0.5879630557803294,97.6221115649304,42290.63536,3797.524765,0.7954772964743719,0.718432208523802,65140147197.121475,1730.0,28905607,19892550,20.554679104648237,2.8699656782851855
IRQ,2007,76650.1,0.25040865143659624,1264.8,1.093912892389335,98.1,43740.90833,3667.686973,-0.7717860826575016,-0.850221916193164,88837055195.26195,2330.0,28660887,19739613,20.897638155337585,2.674379896197909
IRQ,2008,88136.3,0.26103620589660154,1403.5,1.409951741354761,97.9429626464844,47708.7488,4040.451381,2.0048332700326488,1.92646265531762,131614433712.24457,3440.0,29218381,20139353,18.725564167638385,3.016467613315057
IRQ,2009,94205.5,0.26817226574540626,1774.5,1.4314298914633756,98.1476898193359,50873.80678,4710.378188,3.6756600734279767,3.5987933376422,111657581662.34955,3980.0,30289040,20893380,18.074230981764597,3.110217425180857
IRQ,2010,108550.3,0.28696460469113316,1697.1,1.0079649397511266,98.3619613647461,52415.33975,4629.448796,3.3490879573980497,3.17093320217157,138516722649.57266,4350.0,31264875,21604967,18.926137410204458,3.4719569484925175
